Info 0    [22:42:07.048] Starting TS Server
Info 1    [22:42:07.048] Version: 4.6.3
Info 2    [22:42:07.048] Arguments: /usr/local/bin/node /home/fetz/.emacs.d/.local/etc/lsp/npm/typescript/lib/node_modules/typescript/lib/tsserver.js --logFile /home/fetz/Projects/relon/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/f253f6afdb7e9ed49c2b572423d7111f/tscancellation*
Info 3    [22:42:07.048] Platform: linux NodeVersion: 16 CaseSensitive: true
Info 4    [22:42:07.048] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [22:42:07.058] Format host information updated
Info 6    [22:42:07.094] Search path: /home/fetz/Projects/relon
Info 7    [22:42:07.095] For info: /home/fetz/Projects/relon/app.js :: No config files found.
Info 8    [22:42:07.098] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [22:42:07.969] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 870.6020379662514ms
Info 10   [22:42:07.969] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [22:42:07.969] 	Files (159)

Info 12   [22:42:07.969] -----------------------------------------------
Info 13   [22:42:07.973] AutoImportProviderProject: found 1 root files in 1 dependencies in 1.885142982006073 ms
Info 14   [22:42:07.973] Starting updateGraphWorker: Project: /dev/null/autoImportProviderProject1*
Info 15   [22:42:07.975] Finishing updateGraphWorker: Project: /dev/null/autoImportProviderProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 1.7355780005455017ms
Info 16   [22:42:07.975] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 17   [22:42:07.975] 	Files (1)

Info 18   [22:42:07.975] -----------------------------------------------
Info 19   [22:42:08.545] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 20   [22:42:08.566] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: true structureIsReused:: Not Elapsed: 21.00126200914383ms
Info 21   [22:42:08.566] Project '/dev/null/inferredProject1*' (Inferred)
Info 22   [22:42:08.566] 	Files (160)

Info 23   [22:42:08.566] -----------------------------------------------
Info 24   [22:42:08.566] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 25   [22:42:08.566] 	Files (1)

Info 26   [22:42:08.566] -----------------------------------------------
Info 27   [22:42:10.795] Before ensureProjectForOpenFiles:
Info 28   [22:42:10.795] After ensureProjectForOpenFiles:
Info 29   [22:42:10.796] got projects updated in background, updating diagnostics for /home/fetz/Projects/relon/app.js
Info 30   [22:42:20.861] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 31   [22:42:20.894] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 33.27446901798248ms
Info 32   [22:42:20.894] Different program with same set of files
Info 33   [22:42:21.486] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 34   [22:42:21.494] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 8.075360000133514ms
Info 35   [22:42:21.494] Different program with same set of files
Info 36   [22:42:21.783] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 37   [22:42:21.804] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 20.085587978363037ms
Info 38   [22:42:21.804] Different program with same set of files
Info 39   [22:42:21.806] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 40   [22:42:21.820] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false structureIsReused:: Completely Elapsed: 14.376142024993896ms
Info 41   [22:42:21.820] Different program with same set of files
Info 42   [22:42:24.324] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 43   [22:42:24.355] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false structureIsReused:: Completely Elapsed: 30.39089298248291ms
Info 44   [22:42:24.355] Different program with same set of files
